Ref,Val,Package,PosX,PosY,Rot,Side
"D7","1N4148X-TP","SODFL1608X70N",81.417736,-53.106000,-90.000000,top
"D9","5.1V","SOD3716X135N",92.001736,-47.668000,180.000000,top
"J101","90122-0763","MOLEX_90122-0763",111.513000,-80.839000,90.000000,top
"J102","90121-0762","HDRRA2W64P0X254_1X2_508X250X360P",112.705000,-47.812000,-90.000000,top
"J103","90121-0762","HDRRA2W64P0X254_1X2_508X250X360P",112.691000,-59.982000,-90.000000,top
"Q2","MMBT3904T-7-F","SOT50P160X90-3N",82.187000,-64.413000,0.000000,top
"R1","4.7k","RESC2012X50N",109.591000,-61.217000,180.000000,top
"R2","3.01k","RESC2012X60N",106.501000,-53.432000,90.000000,top
"R3","4.99k","RESC2013X65N",104.505000,-55.433000,90.000000,top
"R4","4.7k","RESC2012X50N",96.244000,-60.456000,-90.000000,top
"R5","3.01k","RESC2012X60N",88.818000,-53.921000,0.000000,top
"R6","4.99k","RESC2013X65N",81.850000,-57.219000,90.000000,top
"R9","1k","RESC2012X60N",95.170000,-80.718000,0.000000,top
"R16","1.0k","RESC2012X60N",81.174000,-61.537000,-90.000000,top
"R17","1.0k","RESC2012X60N",83.045736,-52.637000,90.000000,top
"R22","2.2k","RESC2012X60N",83.236000,-61.537000,-90.000000,top
"R27","1.0k","RESC2012X60N",82.971000,-48.774000,180.000000,top
"R29","15k","RESC2012X50N",87.340736,-46.825000,180.000000,top
"T1","750343725","TRANSFORMER_750343725_WRE-L",104.912000,-72.276000,90.000000,top
"T2","750343725","TRANSFORMER_750343725_WRE-L",87.132000,-72.276000,90.000000,top
"U1","SN6501QDBVRQ1","SOT95P280X145-5N",98.945000,-82.918000,-90.000000,top
"U3","TL431AQDBZRQ1","DBZ3",109.788999,-53.438000,180.000000,top
"U4","SN6501QDBVRQ1","SOT95P280X145-5N",87.251000,-81.730000,-90.000000,top
"U5","TL431AQDBZRQ1","DBZ3",84.718500,-57.453000,180.000000,top
